Date,AvgDailyReturn,Volatility,CumulativeReturn,Sharpe,BenchmarkDailyReturn
2023-04-12 04:00:00+00:00,0.00017644933897245803,0.009536099713348343,0.24117248366816857,0.018503302636975322,-0.004134884052006904
2023-04-13 04:00:00+00:00,0.00018208569684918387,0.009533118858492293,0.2531827915408962,0.01910032797786616,0.01326268999363811
2023-04-14 04:00:00+00:00,0.00018638188105726678,0.009528295302050079,0.2625697281992252,0.019560884203196918,-0.0020693734728036706
2023-04-17 04:00:00+00:00,0.00018352580699455967,0.009522980800936895,0.2570659920694396,0.019271886695025567,0.00330615690296554
2023-04-18 04:00:00+00:00,0.00018417564804275156,0.009517263672955642,0.25888397270204355,0.019351743775483182,0.0008552202959737354
2023-04-19 04:00:00+00:00,0.00018301408402233006,0.009511663880605519,0.2569167030585815,0.019241016747395753,-8.42619976980652e-05
2023-04-20 04:00:00+00:00,0.00018084418429577365,0.009506185342249321,0.25284098054031023,0.01902384371699857,-0.00595254815297297
2023-04-21 04:00:00+00:00,0.0001791024406834361,0.009500610487978898,0.24966064774973717,0.01885167704854904,0.0009031888869577287
2023-04-24 04:00:00+00:00,0.00018126650438207286,0.00949518719348322,0.2546226228297288,0.019090356060223912,0.0008515791660903549
2023-04-25 04:00:00+00:00,0.00017116432022474526,0.009495769893946815,0.23396111006145492,0.018025323079264573,-0.015810858882773227
2023-04-26 04:00:00+00:00,0.00017231932799040362,0.009490179912307514,0.2367674189272413,0.018157646070221297,-0.003841187197329843
2023-04-27 04:00:00+00:00,0.0001831732863171258,0.009489850663021585,0.2597681474418938,0.019302019896992047,0.01956614972249704
2023-04-28 04:00:00+00:00,0.00018628785294202128,0.009485772598919542,0.26679225908940074,0.01963865894942917,0.008253202753460531
2023-05-01 04:00:00+00:00,0.00018456184505021272,0.009483205706629024,0.2633614976065093,0.019461967899863108,-0.0003861064902076494
2023-05-02 04:00:00+00:00,0.00017429953419744154,0.009482623428873082,0.2421411268750624,0.018380940201287246,-0.011586262936400304
2023-05-03 04:00:00+00:00,0.00017030265792615707,0.009477879109845221,0.23423726923780164,0.01796843533794959,-0.006998305064656485
2023-05-04 04:00:00+00:00,0.00016502479615814177,0.009473669906357325,0.22371313119899017,0.01741931034006173,-0.007218732334382416
2023-05-05 04:00:00+00:00,0.00017905571726521723,0.00947900485794562,0.2531807585198602,0.0188897167950206,0.018474751389515376
2023-05-08 04:00:00+00:00,0.00017861179128776043,0.009476209210726165,0.252467193033979,0.018848443224067795,0.0004521286642489297
2023-05-09 04:00:00+00:00,0.00017683113210291296,0.009470867393039107,0.2491494752645973,0.018671059868590304,-0.004579421277258522
2023-05-10 04:00:00+00:00,0.00017737684223846116,0.009465374634197918,0.25074173206005934,0.01873954799397032,0.004483965263404999
2023-05-11 04:00:00+00:00,0.00017519557827878603,0.009460187119381704,0.24656882427382132,0.018519250842285284,-0.0016966239932159066
2023-05-12 04:00:00+00:00,0.00017491564997086734,0.009454639437747405,0.2464137306656966,0.018500509842027512,-0.0015833068345566526
2023-05-15 04:00:00+00:00,0.0001796160362469434,0.009450530059663294,0.25679800070193837,0.01900592190205073,0.0029581644391338813
2023-05-16 04:00:00+00:00,0.00017393435244217616,0.009447264345755269,0.24513440572654432,0.018411081353971667,-0.006377683373153031
2023-05-17 04:00:00+00:00,0.0001791358484016232,0.009443656683021094,0.2565892647093082,0.018968907322064608,0.011890829058788244
2023-05-18 04:00:00+00:00,0.0001829104791278519,0.009438823892005772,0.26512518811789376,0.019378524403105796,0.009445048649426635
2023-05-19 04:00:00+00:00,0.00018385155594832146,0.009433334988284059,0.26761766307435453,0.01948956081562459,-0.0014458676054706077
2023-05-22 04:00:00+00:00,0.00018401865976980364,0.009427815997392633,0.268444988732919,0.019518694448501756,0.0001550346964389604
2023-05-23 04:00:00+00:00,0.00018290975344495707,0.009423248792389588,0.2664917141461598,0.019410476946409266,-0.011222026747550129
2023-05-24 04:00:00+00:00,0.00017416714675793214,0.009421282931565182,0.2480868067752129,0.018486563668988265,-0.007318600335353365
2023-05-25 04:00:00+00:00,0.00017331640039088586,0.009416002601931506,0.24670021569833778,0.018406579492165117,0.008757581265902425
2023-05-26 04:00:00+00:00,0.00017804493494131057,0.009412139896773747,0.2572463392852602,0.018916520248741738,0.01304908677799732
2023-05-30 04:00:00+00:00,0.00017307233498387102,0.00940787571937509,0.24698498769575283,0.01839653712978334,1.660326849850513e-05
2023-05-31 04:00:00+00:00,0.00016332318961534694,0.009407252665102603,0.2266042443724734,0.017361412032783494,-0.006108624209833935
2023-06-01 04:00:00+00:00,0.0001708024277752632,0.009405720865388056,0.24281018013786615,0.01815941916836975,0.009854453563032717
2023-06-02 04:00:00+00:00,0.00018092702793938493,0.009405600024128347,0.26498757546616036,0.01923609631232986,0.014534424705965554
2023-06-05 04:00:00+00:00,0.00017839363976629173,0.009400491670353284,0.2599242919846483,0.018977054182059337,-0.0020035816359177394
2023-06-06 04:00:00+00:00,0.0001813036617181908,0.009395429235262437,0.2667111510892306,0.019297006786846024,0.0023538963079141606
2023-06-07 04:00:00+00:00,0.00018178719204529073,0.00939002110782971,0.2682288399907622,0.019359614846202054,-0.0038120096998572883
2023-06-08 04:00:00+00:00,0.00018342641997912818,0.009385106567667303,0.2722815944877255,0.01954441525587486,0.0061886426142414575
2023-06-09 04:00:00+00:00,0.00018155346532828685,0.00937984895910828,0.26862365965086377,0.01935569177283924,0.001148059539441082
2023-06-12 04:00:00+00:00,0.0001803987955521111,0.00937449750108382,0.2665451026175465,0.019243569645333476,0.009321148810237156
2023-06-13 04:00:00+00:00,0.00018473847992645027,0.009370251661865364,0.2765576531780969,0.0197154235118669,0.006932489951473775
2023-06-14 04:00:00+00:00,0.00018648171242531753,0.009365051405284399,0.2808994948939023,0.019912513488189915,0.0008194255259321714
2023-06-15 04:00:00+00:00,0.00018997864127239753,0.009362717270542584,0.28913259723290263,0.02029097277882321,0.01217813742034668
2023-06-16 04:00:00+00:00,0.0001890299744166947,0.009357436567521823,0.2874913506763457,0.020201042566805927,-0.0036716195284263176
2023-06-20 04:00:00+00:00,0.00018722582743956905,0.00934959260602368,0.2841687694893289,0.020025025188685198,-0.0047351076976228645
2023-06-21 04:00:00+00:00,0.0001852380206044712,0.009344534861077157,0.28019078927861507,0.01982313976654356,-0.005245281583003636
2023-06-22 04:00:00+00:00,0.00018039987514717264,0.009340366213285779,0.2698514105932379,0.019314004507721663,0.003710798414438443
2023-06-23 04:00:00+00:00,0.0001749217407856601,0.009336758910886346,0.25814919325593055,0.018734738944764576,-0.007658808766684566
2023-06-26 04:00:00+00:00,0.00017527427916142453,0.009331484121813559,0.2593661485992509,0.018783108546656376,-0.004486838293256468
2023-06-27 04:00:00+00:00,0.00017889466665612497,0.009326976157045083,0.26781943745474224,0.019180349948787832,0.011455854954693034
2023-06-28 04:00:00+00:00,0.00017962625376176283,0.009321880156183208,0.26989957843544565,0.01926931592685373,-0.00035407668843834283
2023-06-29 04:00:00+00:00,0.00018296614160752568,0.009317116822912462,0.2778283151118146,0.019637635234708992,0.004473544672805918
2023-06-30 04:00:00+00:00,0.00018905048825350036,0.00931401457023962,0.2920171707353192,0.020297422430233185,0.012269004495714109
2023-07-03 04:00:00+00:00,0.00019250078716410212,0.00930936352899889,0.30037679773696935,0.020678189928286458,0.0011706778016009611
2023-07-05 04:00:00+00:00,0.00018528206536186224,0.009303208941082795,0.2846119294878322,0.019915930786382763,-0.0019683184132291975
2023-07-06 04:00:00+00:00,0.00017686720884245422,0.00930149090832465,0.26603987418189545,0.019014931110039743,-0.007922511336500904
2023-07-07 04:00:00+00:00,0.00017941848776053661,0.009296570260533057,0.27221174922159985,0.019299427932280146,-0.0028651005386203243
2023-07-10 04:00:00+00:00,0.00017969369758136615,0.009291325255509953,0.2732888694364939,0.019339942649710166,0.002405026057131332
2023-07-11 04:00:00+00:00,0.00018365477087299922,0.009287188997650039,0.2827036899412636,0.01977506551438437,0.0067422110558885695
2023-07-12 04:00:00+00:00,0.00019266184523354521,0.00928595239848615,0.3037770364252539,0.02074766668682838,0.007411233485312474
2023-07-13 04:00:00+00:00,0.00019662397899385809,0.009281861117092234,0.3134738242169175,0.021183680353908944,0.008470153458069118
2023-07-14 04:00:00+00:00,0.00019256422723604367,0.009277894953661535,0.304504015763406,0.02075516355787666,-0.0010244071333035398
2023-07-17 04:00:00+00:00,0.0001940975951432772,0.009272858742992123,0.30857276440829207,0.020931796819396678,0.0038553825145495324
2023-07-18 04:00:00+00:00,0.00019905519828064037,0.009268876067831097,0.320681316038109,0.021475656468370387,0.007117275205842377
2023-07-19 04:00:00+00:00,0.00020380036583497247,0.009265003533221293,0.33242051317789234,0.021996793104742007,0.002357910335732072
2023-07-20 04:00:00+00:00,0.00020517461114805404,0.009259930015040696,0.3362398266076714,0.02215725289659787,-0.006756896218903741
2023-07-21 04:00:00+00:00,0.00020509960495602268,0.009254803013231451,0.3366076611847184,0.0221614230646287,0.0003240945218980773
2023-07-24 04:00:00+00:00,0.00020753686982672364,0.009250006312297098,0.34299943034181135,0.022436403048808843,0.004034153877153557
2023-07-25 04:00:00+00:00,0.00020771231664723977,0.009244902963839063,0.34397852747547963,0.022467766017631036,0.002814673351556163
2023-07-26 04:00:00+00:00,0.0002078016255757679,0.009239751563368873,0.34475253300670095,0.022489958106622736,-0.00015543889679858758
2023-07-27 04:00:00+00:00,0.00019820311174782845,0.009239119745333167,0.3221981931789135,0.021452596915192503,-0.006424666064487883
2023-07-28 04:00:00+00:00,0.00020160585385055492,0.00923505730569699,0.33082353804551334,0.02183049299826075,0.009877842794752345
2023-07-31 04:00:00+00:00,0.00020294799074552515,0.009230280251623972,0.3345755826056682,0.021987197052854224,0.0014687129405193122
2023-08-01 04:00:00+00:00,0.00019979607412141538,0.009225733799471452,0.32753613482467214,0.021656388365862218,-0.002665087639215691
2023-08-02 04:00:00+00:00,0.0001875913662355017,0.009229146421504361,0.29893351440478977,0.02032597140277292,-0.013839541336347905
2023-08-03 04:00:00+00:00,0.00019006449469853495,0.00922433756132948,0.30523654237199405,0.02060467685997621,-0.0025479738404268204
2023-08-04 04:00:00+00:00,0.0001904408314592117,0.009219383548405609,0.30661911696962973,0.020656568897401646,-0.005300074155050516
